film_id,film,category,number_of_rentals
1,Academy Dinosaur,Documentary,23
2,Ace Goldfinger,Horror,7
3,Adaptation Holes,Documentary,12
4,Affair Prejudice,Horror,23
5,African Egg,Family,12
6,Agent Truman,Foreign,21
7,Airplane Sierra,Comedy,15
8,Airport Pollock,Horror,18
9,Alabama Devil,Horror,12
10,Aladdin Calendar,Sports,23
11,Alamo Videotape,Foreign,24
12,Alaska Phantom,Music,26
13,Ali Forever,Horror,9
15,Alien Center,Foreign,22
16,Alley Evolution,Foreign,14
17,Alone Trip,Music,18
18,Alter Victory,Animation,22
19,Amadeus Holy,Action,21
20,Amelie Hellfighters,Music,10
21,American Circus,Action,22
22,Amistad Midsummer,New,21
23,Anaconda Confessions,Animation,21
24,Analyze Hoosiers,Horror,14
25,Angels Life,New,22
26,Annie Identity,Sci-Fi,22
27,Anonymous Human,Sports,13
28,Anthem Luke,Comedy,15
29,Antitrust Tomatoes,Action,10
30,Anything Savannah,Horror,9
31,Apache Divine,Family,31
32,Apocalypse Flamingos,New,6
34,Arabia Dogma,Horror,13
35,Arachnophobia Rollercoaster,Horror,24
37,Arizona Bang,Classics,21
39,Armageddon Lost,Sci-Fi,21
40,Army Flintstones,Documentary,16
42,Artist Coldblooded,Sports,16
43,Atlantis Cause,Family,24
44,Attacks Hate,Sci-Fi,16
45,Attraction Newton,New,24
46,Autumn Crow,Games,11
47,Baby Hall,Foreign,8
48,Backlash Undefeated,Children,19
49,Badman Dawn,Sci-Fi,21
50,Baked Cleopatra,Family,16
51,Balloon Homeward,Music,23
52,Ballroom Mockingbird,Foreign,8
53,Bang Kwai,Family,7
54,Banger Pinocchio,Music,22
55,Barbarella Streetcar,Sci-Fi,25
56,Barefoot Manchurian,Action,18
57,Basic Easy,Travel,21
58,Beach Heartbreakers,Documentary,17
59,Bear Graceland,Children,22
60,Beast Hunchback,Classics,11
61,Beauty Grease,Drama,22
62,Bed Highball,Documentary,6
63,Bedazzled Married,Family,13
64,Beethoven Exorcist,Drama,11
65,Behavior Runaway,Horror,13
66,Beneath Rush,Children,10
67,Berets Agent,Action,21
68,Betrayed Rear,Children,15
69,Beverly Outlaw,Sci-Fi,21
70,Bikini Borrowers,Animation,17
71,Bilko Anonymous,Family,13
72,Bill Others,Documentary,19
