film_id,film_title,film_estimation
468,Invasion Cyclone,2.576
814,Snatch Slipper,2.442
204,Dalmations Sweden,2.256
341,Frost Head,2.162
973,Wife Turn,2.005
44,Attacks Hate,2.005
174,Confidential Interview,2.004
518,Liaisons Sweet,1.913
875,Talented Homicide,1.89
460,Innocent Usual,1.843
317,Fireball Philadelphia,1.671
70,Bikini Borrowers,1.664
119,Caper Motions,1.634
361,Gleaming Jawbreaker,1.628
721,Reds Pocus,1.561
480,Jeepers Wedding,1.561
445,Hyde Doctor,1.553
184,Core Suit,1.543
308,Ferris Mother,1.522
110,Cabin Flash,1.517
301,Family Sweet,1.515
346,Galaxy Sweethearts,1.514
315,Finding Anaconda,1.509
865,Sunrise League,1.509
818,Something Duck,1.502
18,Alter Victory,1.475
764,Saturday Lambs,1.372
159,Closer Bang,1.364
274,Egg Igby,1.364
8,Airport Pollock,1.356
758,Saints Bride,1.355
554,Malkovich Pet,1.347
651,Packer Madigan,1.347
560,Mars Roman,1.347
444,Hustler Party,1.339
502,Knock Warlock,1.263
89,Borrowers Bedazzled,1.263
911,Trip Newton,1.238
510,Lawless Vision,1.221
925,United Pilot,1.216
759,Salute Apollo,1.185
555,Mallrats United,1.185
294,Expecations Natural,1.146
505,Labyrinth League,1.132
416,Highball Potter,1.132
663,Patient Sister,1.122
300,Falcon Volume,1.118
305,Fatal Haunted,1.118
483,Jericho Mulan,1.11
391,Half Outfield,1.101
822,Soup Wisdom,1.101
621,Network Peak,1.099
859,Sugar Wonka,1.094
698,Princess Giant,1.093
79,Blade Polish,1.089
193,Crossroads Casualties,1.085
611,Musketeers Wait,1.085
66,Beneath Rush,1.085
258,Drums Dynamite,1.085
993,Wrong Behavior,1.077
267,Eagles Panky,1.065
579,Minds Truman,1.065
563,Massacre Usual,1.062
243,Doors President,1.058
504,Kwai Homeward,1.057
902,Trading Pinocchio,1.054
222,Desert Poseidon,1.054
150,Cider Desire,1.054
164,Coast Rainbow,1.031
970,Westward Seabiscuit,1.031
767,Scalawag Duck,1.031
285,English Bulworth,1.031
364,Godfather Diary,1.023
448,Idaho Love,1.015
330,Forrester Comancheros,1.015
257,Drumline Cyclone,0.984
103,Bucket Brotherhood,0.976
879,Telegraph Voyage,0.959
789,Shock Cabin,0.957
897,Torque Bound,0.951
249,Dracula Crystal,0.951
846,Sting Personal,0.951
871,Sweden Shining,0.949
922,Undefeated Dalmations,0.947
804,Sleeping Suspects,0.941
307,Fellowship Autumn,0.941
609,Muscle Bright,0.941
753,Rush Goodfellas,0.931
527,Lola Agent,0.931
462,Insider Arizona,0.931
67,Berets Agent,0.929
755,Sabrina Midnight,0.929
348,Gandhi Kwai,0.92
366,Goldfinger Sensibility,0.92
791,Show Lord,0.912
898,Tourist Pelican,0.912
